ID,Nama_Barang,Kategori,Stok,Lokasi,Status,Departemen,PIC
001,TOW,FAS,6,PM,available,CR,AG
002,MJA,FAS,33,R1,borrowed,FN,MG
003,GNT,ATK,92,LB,borrowed,CR,AN
004,STP,ATK,92,SR,available,PR,ST
005,TLP,ELK,41,G2,available,OP,AN
006,HMR,PRK,66,R1,broken,MK,JN
007,TPD,FAS,0,KL,empty,LG,AN
008,DSP,FAS,79,RF,available,GA,JN
009,GPU,ELK,50,L1,available,IT,MG
010,SPK,ELK,37,L1,available,OP,SN
011,DSP,FAS,76,L1,available,LG,SN
012,AC,FAS,78,R3,broken,AD,RN
013,BND,KES,80,ST,available,HR,AN
014,GLG,PRK,0,PT,empty,LG,RN
015,BKS,ATK,94,SR,available,LG,DD
016,STF,ATK,91,R1,broken,OP,RN
017,GNT,ATK,10,PM,broken,OP,RN
018,KBD,ELK,8,WS,available,HR,SN
019,PAL,FAS,57,A1,broken,MK,MG
020,SPD,ATK,0,PM,empty,AD,BD
021,BKS,ATK,85,PT,borrowed,OP,ED
022,TAP,PRK,98,RA,available,MK,ED
023,MBD,ELK,57,PM,borrowed,FN,AN
024,SLD,PRK,37,R1,borrowed,GA,AN
025,KBD,ELK,87,A2,available,MK,AG
026,VSE,FAS,49,SR,broken,HR,TK
027,BRM,FAS,73,R1,borrowed,HR,DD
028,TST,PRK,21,LB,available,FN,BD
029,LAN,ELK,27,A1,borrowed,GA,RN
030,SPK,ELK,66,PP,available,OP,TK
031,SPN,FAS,50,G1,broken,OP,AN
032,LBN,ATK,54,A1,available,CR,AG
033,AC,FAS,71,PM,borrowed,LG,SN
034,MSE,ELK,19,A1,broken,IT,AG
035,OBN,PRK,24,R4,available,HR,ED
036,KNF,FAS,47,RF,borrowed,HR,TK
037,SSD,ELK,54,R2,available,CR,RN
038,BKS,ATK,90,G1,broken,OP,TK
039,TPD,FAS,51,SR,available,AD,JN
040,MBD,ELK,90,SR,borrowed,PR,DD
041,MBP,ELK,69,R1,borrowed,FN,AN
042,BIN,FAS,32,SR,broken,GA,RN
043,RAM,ELK,29,A1,available,GA,ST
044,MSE,ELK,4,L2,available,GA,AN
045,FGR,ELK,64,PM,available,AD,AN
046,LAN,ELK,0,ST,empty,GA,ST
047,ATR,ATR,65,RA,available,AD,RN
048,GLG,PRK,0,RF,empty,PR,AN
049,SWT,ELK,0,M2,empty,PR,MG
050,STP,ATK,25,L1,available,CR,ED
051,LVL,PRK,44,R1,available,GA,BD
052,LAN,ELK,79,PM,available,AD,JN
053,AC,FAS,6,L2,available,AD,JN
054,TLP,ELK,40,R4,available,OP,DD
055,CUP,FAS,26,R2,broken,OP,BD
056,BRM,FAS,82,R1,available,CR,AG
057,CPU,ELK,15,WS,available,HR,ED
058,UU,DOK,23,PM,available,LG,AG
059,MON,ELK,23,WS,broken,HR,ST
060,P3K,KES,99,R3,borrowed,AD,JN
061,BRK,FAS,9,R2,borrowed,FN,BD
062,VAC,FAS,64,A1,available,IT,RN
063,SP,FAS,23,RF,borrowed,LG,JN
064,CPU,ELK,39,WS,available,PR,DD
065,VAC,FAS,76,G2,available,LG,ST
066,LBN,ATK,3,SR,available,CR,MG
067,HDM,ELK,41,L2,available,AD,ED
068,SPN,FAS,0,B1,empty,CR,ST
069,VSE,FAS,9,R1,borrowed,IT,JN
070,SWT,ELK,13,L1,borrowed,IT,AN
071,MJA,FAS,73,SR,available,HR,DD
072,HMR,PRK,79,RA,available,LG,RN
073,BRM,FAS,85,R2,broken,CR,MG
074,GPU,ELK,42,R3,available,OP,RN
075,SWT,ELK,60,L1,available,LG,TK
076,TST,PRK,44,PM,available,OP,MG
077,SAW,PRK,33,R3,available,AD,DD
078,ATR,ATR,52,SR,borrowed,CR,DD
079,SHD,ELK,99,L2,available,GA,RN
080,FGR,ELK,95,R2,available,LG,RN
081,LVL,PRK,85,R2,borrowed,CR,AN
082,TPD,FAS,0,L2,empty,PR,MG
083,MIC,ELK,63,A2,available,LG,JN
084,HDM,ELK,90,PM,available,CR,JN
085,WBC,ELK,52,R4,borrowed,LG,ST
086,SWT,ELK,62,RF,borrowed,CR,ST
087,PHP,ELK,99,G1,borrowed,GA,SN
088,HDD,ELK,36,A1,broken,HR,JN
089,TLP,ELK,79,M1,available,PR,ST
090,TNG,PRK,80,R1,borrowed,PR,SN
091,LMR,FAS,50,R2,available,LG,RN
092,PSD,ELK,93,R2,broken,AD,DD
093,TST,PRK,12,A2,broken,IT,MG
094,KF4,ATK,88,L2,broken,CR,ED
095,RAM,ELK,35,L1,available,AD,TK
096,TAP,PRK,43,WS,available,AD,RN
097,HMR,PRK,0,WS,empty,GA,SN
098,TST,PRK,35,RF,available,IT,RN
099,LVL,PRK,52,PT,broken,GA,ED
100,TAP,PRK,75,KL,broken,CR,ED
101,RAM,ELK,4,WS,available,OP,SN
102,BWL,FAS,53,R1,available,OP,MG
103,KNF,FAS,19,L1,available,FN,TK
104,BRK,FAS,89,G2,borrowed,PR,ED
105,CPU,ELK,99,R4,available,AD,MG
106,BIN,FAS,50,PT,broken,PR,ED
107,USB,ELK,13,LB,borrowed,MK,JN
108,FLS,ELK,0,RA,empty,AD,AG
109,UU,DOK,70,SR,broken,CR,RN
110,PSD,ELK,63,PM,available,MK,BD
111,CUP,FAS,0,PP,empty,AD,JN
112,PLT,FAS,37,L1,broken,FN,JN
113,CAM,ELK,7,KL,available,MK,MG
114,ATR,ATR,61,R2,borrowed,HR,MG
115,KNF,FAS,0,B1,empty,OP,JN
116,MSE,ELK,67,RA,available,CR,MG
117,PLT,FAS,43,A2,available,GA,SN
118,PLR,PRK,29,LB,available,AD,JN
119,KLC,ELK,92,PP,available,FN,AG
120,SP,FAS,81,PT,broken,LG,AG
121,KA4,ATK,86,PP,available,LG,DD
122,MSE,ELK,34,M1,available,AD,MG
123,HDM,ELK,51,R2,available,HR,ED
124,MON,ELK,30,PT,available,MK,AG
125,FGR,ELK,79,RA,available,MK,ST
126,GLS,FAS,89,B1,borrowed,PR,ST
127,PAL,FAS,8,PM,broken,CR,TK
128,KLC,ELK,54,SR,borrowed,FN,AG
129,CAB,ELK,0,B1,empty,MK,AG
130,RAM,ELK,57,R2,borrowed,PR,MG
131,SPD,ATK,25,M1,available,GA,BD
132,LAN,ELK,64,L1,available,MK,SN
133,IST,ATK,98,ST,available,CR,TK
134,PAL,FAS,24,KL,borrowed,PR,DD
135,PRN,ELK,93,WS,available,LG,ED
136,UPS,ELK,88,KL,available,GA,DD
137,CAB,ELK,1,G2,broken,FN,AG
138,TAP,PRK,98,KL,available,IT,ED
139,WBC,ELK,92,R1,borrowed,FN,ST
140,MSE,ELK,96,LB,borrowed,LG,ST
141,PSD,ELK,0,ST,empty,MK,AN
142,FAN,ELK,75,R1,borrowed,FN,AN
143,ICT,ATK,43,R4,borrowed,HR,ED
144,IST,ATK,0,KL,empty,HR,BD
145,RTR,ELK,26,R1,broken,MK,DD
146,UU,DOK,74,PT,borrowed,IT,BD
147,PRJ,ELK,26,B1,borrowed,AD,JN
148,UPS,ELK,83,B1,borrowed,IT,ED
149,CUP,FAS,78,R3,borrowed,FN,AN
150,CSG,ELK,49,M2,borrowed,GA,MG
151,CAM,ELK,30,RA,broken,HR,AG
152,WBC,ELK,4,A2,available,FN,AN
153,ICT,ATK,49,R4,borrowed,PR,TK
154,SHD,ELK,25,R2,broken,HR,MG
155,GLS,FAS,38,A2,available,HR,DD
156,SHD,ELK,72,G1,broken,IT,TK
157,SDC,ELK,45,R2,broken,OP,MG
158,BRK,FAS,59,PT,borrowed,MK,ST
159,PAL,FAS,91,R2,borrowed,FN,AN
160,NT,ATK,78,M1,broken,FN,SN
